time_s,q0,qdot0,tau0,q1,qdot1,tau1,q2,qdot2,tau2,q3,qdot3,tau3,q4,qdot4,tau4,q5,qdot5,tau5,q6,qdot6,tau6,q7,qdot7,tau7,q8,qdot8,tau8,q9,qdot9,tau9,q10,qdot10,tau10,q11,qdot11,tau11,command_0,command_1,command_2,imu_accel_x,imu_accel_y,imu_accel_z
1.836007595062255859e+00,7.377892732620239258e-02,-1.550209522247314453e-02,1.731679737567901611e-01,1.248780727386474609e+00,5.813286080956459045e-02,-4.947656393051147461e-02,-2.800574779510498047e+00,-2.426414936780929565e-02,9.483008086681365967e-02,1.234791874885559082e-01,-3.875523805618286133e-02,1.236914098262786865e-01,1.203697443008422852e+00,-5.425733327865600586e-02,4.947656393051147461e-02,-2.762125015258789062e+00,3.639622405171394348e-02,-2.370752096176147461e-01,-1.278442740440368652e-01,4.263076186180114746e-02,0.000000000000000000e+00,1.270454049110412598e+00,3.875523805618286133e-03,-2.473828196525573730e-02,-2.819878578186035156e+00,-2.426414936780929565e-02,4.741504043340682983e-02,2.031444907188415527e-01,-3.487971425056457520e-02,0.000000000000000000e+00,1.297158718109130859e+00,6.200838088989257812e-02,2.473828196525573730e-02,-2.804792642593383789e+00,2.628616243600845337e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.153940081596374512e-01,-3.639186620712280273e-01,9.586383819580078125e+00
1.870192289352416992e+00,7.377892732620239258e-02,-5.813286080956459045e-02,4.947656393051147461e-02,1.248780727386474609e+00,3.875523805618286133e-02,-4.947656393051147461e-02,-2.800559043884277344e+00,0.000000000000000000e+00,9.483008086681365967e-02,1.235094666481018066e-01,3.875523805618286133e-03,4.947656393051147461e-02,1.203697443008422852e+00,-3.875523805618286133e-02,7.421484589576721191e-02,-2.762140750885009766e+00,2.022012369707226753e-03,-4.741504043340682983e-02,-1.278745532035827637e-01,-7.751047611236572266e-03,0.000000000000000000e+00,1.270484328269958496e+00,6.200838088989257812e-02,0.000000000000000000e+00,-2.819862842559814453e+00,2.022012369707226753e-03,0.000000000000000000e+00,2.031444907188415527e-01,3.487971425056457520e-02,-4.947656393051147461e-02,1.297098159790039062e+00,5.813286080956459045e-02,2.473828196525573730e-02,-2.804792642593383789e+00,2.022012509405612946e-02,-4.741504043340682983e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.201824069023132324e-01,-3.531447649002075195e-01,9.522936820983886719e+00
1.876549005508422852e+00,7.362753152847290039e-02,-2.325314283370971680e-02,-2.473828196525573730e-02,1.248992681503295898e+00,1.550209522247314453e-02,4.947656393051147461e-02,-2.800543069839477539e+00,2.426414936780929565e-02,9.483008086681365967e-02,1.232369542121887207e-01,-1.937761902809143066e-02,0.000000000000000000e+00,1.204000234603881836e+00,1.162657141685485840e-02,2.473828196525573730e-01,-2.761919498443603516e+00,-4.044024739414453506e-03,4.741504043340682983e-02,-1.281470358371734619e-01,0.000000000000000000e+00,-1.484296917915344238e-01,1.270605325698852539e+00,2.325314283370971680e-02,0.000000000000000000e+00,-2.819862842559814453e+00,-2.628616243600845337e-02,2.844902276992797852e-01,2.030536532402038574e-01,1.550209522247314453e-02,-2.473828196525573730e-02,1.297370672225952148e+00,3.875523805618286133e-03,1.236914098262786865e-01,-2.804760932922363281e+00,-3.235219791531562805e-02,2.370752096176147461e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.213795065879821777e-01,-3.028665184974670410e-01,9.606734275817871094e+00
1.895483016967773438e+00,7.338529825210571289e-02,-5.425733327865600586e-02,0.000000000000000000e+00,1.249325752258300781e+00,9.688809514045715332e-02,0.000000000000000000e+00,-2.800479888916015625e+00,-1.617609895765781403e-02,3.319052755832672119e-01,1.229947209358215332e-01,7.751047611236572266e-03,-1.236914098262786865e-01,1.204424142837524414e+00,1.550209522247314453e-02,2.721211016178131104e-01,-2.761793136596679688e+00,2.022012509405612946e-02,2.844902276992797852e-01,-1.283589899539947510e-01,-1.162657141685485840e-02,-1.731679737567901611e-01,1.270787000656127930e+00,5.038180947303771973e-02,4.947656393051147461e-02,-2.819799661636352539e+00,0.000000000000000000e+00,4.741504192352294922e-01,2.030536532402038574e-01,1.085146665573120117e-01,4.947656393051147461e-02,1.297491788864135742e+00,-1.550209522247314453e-02,1.484296917915344238e-01,-2.804650306701660156e+00,1.617609895765781403e-02,4.741504192352294922e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.441244006156921387e-01,-3.591302633285522461e-01,9.646238327026367188e+00
1.919252634048461914e+00,7.296144962310791016e-02,-1.007636189460754395e-01,-2.473828196525573730e-02,1.249931335449218750e+00,1.007636189460754395e-01,1.484296917915344238e-01,-2.800337791442871094e+00,2.830817364156246185e-02,5.215654373168945312e-01,1.225708723068237305e-01,-4.650628566741943359e-02,-2.226445376873016357e-01,1.205302238464355469e+00,2.325314283370971680e-02,4.452890753746032715e-01,-2.761698484420776367e+00,2.224213629961013794e-02,4.267353713512420654e-01,-1.287525892257690430e-01,-3.875523805618286133e-03,-2.226445376873016357e-01,1.271120071411132812e+00,0.000000000000000000e+00,1.484296917915344238e-01,-2.819704771041870117e+00,2.224213629961013794e-02,7.112256288528442383e-01,2.029325366020202637e-01,-4.263076186180114746e-02,0.000000000000000000e+00,1.297824859619140625e+00,3.875523805618286133e-03,2.226445376873016357e-01,-2.804571390151977539e+00,4.044025018811225891e-02,6.638105511665344238e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.129997789859771729e-01,-3.256114423274993896e-01,9.586383819580078125e+00
1.942671656608581543e+00,7.226502895355224609e-02,0.000000000000000000e+00,-7.421484589576721191e-02,1.251747965812683105e+00,8.913704752922058105e-02,2.473828196525573730e-02,-2.800069332122802734e+00,-8.088049478828907013e-03,7.112256288528442383e-01,1.216928362846374512e-01,-3.487971425056457520e-02,-3.710742294788360596e-01,1.206664681434631348e+00,2.712866663932800293e-02,6.431953310966491699e-01,-2.761508941650390625e+00,2.022012369707226753e-03,5.215654373168945312e-01,-1.300242543220520020e-01,-5.813286080956459045e-02,-1.236914098262786865e-01,1.272149562835693359e+00,5.425733327865600586e-02,1.484296917915344238e-01,-2.819499492645263672e+00,-8.088049478828907013e-03,9.957158565521240234e-01,2.029930949211120605e-01,6.975942850112915039e-02,-2.473828196525573730e-02,1.298400163650512695e+00,-3.875523805618286133e-03,2.721211016178131104e-01,-2.804397583007812500e+00,2.224213629961013794e-02,9.008857607841491699e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.118026793003082275e-01,-4.046200811862945557e-01,9.567230224609375000e+00
1.956376671791076660e+00,7.205313444137573242e-02,-3.875523805618286133e-03,-2.473828196525573730e-01,1.252626061439514160e+00,1.937761902809143066e-02,1.484296917915344238e-01,-2.799926996231079102e+00,6.066037341952323914e-02,9.957158565521240234e-01,1.212386488914489746e-01,-3.875523805618286133e-02,-4.452890753746032715e-01,1.207118868827819824e+00,3.487971425056457520e-02,6.431953310966491699e-01,-2.761429786682128906e+00,1.213207468390464783e-02,7.112256288528442383e-01,-1.305389702320098877e-01,5.425733327865600586e-02,-2.226445376873016357e-01,1.272785425186157227e+00,5.038180947303771973e-02,1.484296917915344238e-01,-2.819467782974243164e+00,-2.830817364156246185e-02,1.232791066169738770e+00,2.029930949211120605e-01,5.813286080956459045e-02,-2.473828196525573730e-02,1.298702955245971680e+00,4.263076186180114746e-02,2.721211016178131104e-01,-2.804366111755371094e+00,3.235219791531562805e-02,9.957158565521240234e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.297592043876647949e-01,-3.711012601852416992e-01,9.581595420837402344e+00
1.982201337814331055e+00,7.153838872909545898e-02,-6.588390469551086426e-02,-3.215976655483245850e-01,1.253534317016601562e+00,7.363495230674743652e-02,3.463359475135803223e-01,-2.799516201019287109e+00,4.448427259922027588e-02,1.043130874633789062e+00,1.201486587524414062e-01,-8.526152372360229492e-02,-5.442422032356262207e-01,1.208208799362182617e+00,-2.712866663932800293e-02,7.916250228881835938e-01,-2.761145591735839844e+00,5.257232487201690674e-02,8.060556650161743164e-01,-1.315078437328338623e-01,-3.487971425056457520e-02,-2.226445376873016357e-01,1.273572564125061035e+00,1.123901903629302979e-01,2.721211016178131104e-01,-2.819183588027954102e+00,-1.213207468390464783e-02,1.327621102333068848e+00,2.029628157615661621e-01,3.875523805618286133e-03,-7.421484589576721191e-02,1.299308419227600098e+00,-1.937761902809143066e-02,2.721211016178131104e-01,-2.804144859313964844e+00,2.628616243600845337e-02,1.090545892715454102e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.651157617568969727e-01,-3.890577852725982666e-01,9.545681953430175781e+00
1.998879194259643555e+00,7.117503881454467773e-02,-7.751047611236572266e-02,-3.710742294788360596e-01,1.254200458526611328e+00,3.875523805618286133e-02,4.452890753746032715e-01,-2.799263477325439453e+00,-4.044024739414453506e-03,1.232791066169738770e+00,1.192100644111633301e-01,-1.472699046134948730e-01,-5.937187671661376953e-01,1.209510803222656250e+00,2.712866663932800293e-02,7.916250228881835938e-01,-2.760987520217895508e+00,1.415408682078123093e-02,9.008857607841491699e-01,-1.324464529752731323e-01,-5.038180947303771973e-02,-1.731679737567901611e-01,1.274026751518249512e+00,2.325314283370971680e-02,4.205507934093475342e-01,-2.819025516510009766e+00,8.088049478828907013e-03,1.469866275787353516e+00,2.030839323997497559e-01,3.875523805618286133e-02,-4.947656393051147461e-02,1.299823164939880371e+00,1.162657141685485840e-02,3.710742294788360596e-01,-2.804034233093261719e+00,3.841823711991310120e-02,1.422451257705688477e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.902548849582672119e-01,-3.435679376125335693e-01,9.645041465759277344e+00
2.016393661499023438e+00,7.081174850463867188e-02,-1.201412379741668701e-01,-3.710742294788360596e-01,1.254957437515258789e+00,1.162657141685485840e-02,5.442422032356262207e-01,-2.798963546752929688e+00,4.044024739414453506e-03,1.422451257705688477e+00,1.181503534317016602e-01,-1.085146665573120117e-01,-6.431953310966491699e-01,1.210631132125854492e+00,1.162657141685485840e-02,1.063746094703674316e+00,-2.760766506195068359e+00,4.246226325631141663e-02,1.043130874633789062e+00,-1.338997781276702881e-01,-1.201412379741668701e-01,-2.473828196525573730e-02,1.274541497230529785e+00,5.425733327865600586e-02,5.195039510726928711e-01,-2.818772792816162109e+00,1.819811202585697174e-02,1.659526467323303223e+00,2.031747698783874512e-01,7.751047611236572266e-03,-1.236914098262786865e-01,1.300277352333068848e+00,3.875523805618286133e-03,4.700273573398590088e-01,-2.803876399993896484e+00,4.852829873561859131e-02,1.659526467323303223e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.812345504760742188e-01,-3.136404156684875488e-01,9.648633003234863281e+00
