time_s,q0,qdot0,tau0,q1,qdot1,tau1,q2,qdot2,tau2,q3,qdot3,tau3,q4,qdot4,tau4,q5,qdot5,tau5,q6,qdot6,tau6,q7,qdot7,tau7,q8,qdot8,tau8,q9,qdot9,tau9,q10,qdot10,tau10,q11,qdot11,tau11,command_0,command_1,command_2,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z
1.803549408912658691e+00,-1.320174336433410645e-01,-6.200838088989257812e-02,7.421484589576721191e-02,1.201245069503784180e+00,3.875523805618286133e-02,-1.484296917915344238e-01,-2.739266633987426758e+00,-2.830817364156246185e-02,2.370752096176147461e-01,8.623784780502319336e-02,-1.085146665573120117e-01,4.947656393051147461e-02,1.218715190887451172e+00,-5.813286080956459045e-02,4.947656393051147461e-02,-2.780070304870605469e+00,4.044025018811225891e-02,-2.370752096176147461e-01,-3.439047336578369141e-01,3.875523805618286133e-02,0.000000000000000000e+00,1.293858528137207031e+00,3.875523805618286133e-02,0.000000000000000000e+00,-2.813717842102050781e+00,-2.426414936780929565e-02,0.000000000000000000e+00,3.306431770324707031e-01,3.875523805618286133e-02,0.000000000000000000e+00,1.296189904212951660e+00,-5.038180947303771973e-02,0.000000000000000000e+00,-2.802754878997802734e+00,5.055030807852745056e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047307774424552917e-01,-4.860302060842514038e-02,-2.721302909776568413e-03,-9.933085441589355469e-01
1.821534872055053711e+00,-1.319871544837951660e-01,-3.875523805618286133e-03,2.473828196525573730e-02,1.201245069503784180e+00,5.038180947303771973e-02,-4.947656393051147461e-02,-2.739250898361206055e+00,1.819811202585697174e-02,4.267353713512420654e-01,8.626812696456909180e-02,-3.875523805618286133e-02,7.421484589576721191e-02,1.218775749206542969e+00,3.875523805618286133e-02,1.236914098262786865e-01,-2.780117750167846680e+00,-3.639622405171394348e-02,-1.422451138496398926e-01,-3.439047336578369141e-01,2.325314283370971680e-02,-4.947656393051147461e-02,1.293828248977661133e+00,-1.162657141685485840e-02,0.000000000000000000e+00,-2.813702106475830078e+00,6.066037341952323914e-03,4.741504043340682983e-02,3.306431770324707031e-01,3.875523805618286133e-02,0.000000000000000000e+00,1.296220183372497559e+00,0.000000000000000000e+00,7.421484589576721191e-02,-2.802738904953002930e+00,2.224213629961013794e-02,9.483008086681365967e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047302708029747009e-01,-4.862700775265693665e-02,-2.720006508752703667e-03,-9.933074116706848145e-01
1.845747351646423340e+00,-1.319265961647033691e-01,1.550209522247314453e-02,1.236914098262786865e-01,1.201366186141967773e+00,6.588390469551086426e-02,-4.947656393051147461e-02,-2.739282369613647461e+00,-2.022012509405612946e-02,9.483008086681365967e-02,8.620756864547729492e-02,-3.875523805618286133e-02,7.421484589576721191e-02,1.218866586685180664e+00,-3.875523805618286133e-03,1.731679737567901611e-01,-2.779991388320922852e+00,1.617609895765781403e-02,9.483008086681365967e-02,-3.438441753387451172e-01,1.162657141685485840e-02,4.947656393051147461e-02,1.293858528137207031e+00,2.325314283370971680e-02,0.000000000000000000e+00,-2.813686132431030273e+00,-2.830817364156246185e-02,9.483008086681365967e-02,3.304917812347412109e-01,-1.550209522247314453e-02,-1.484296917915344238e-01,1.296341300010681152e+00,-7.751047611236572266e-03,0.000000000000000000e+00,-2.802644252777099609e+00,3.841823711991310120e-02,9.483008086681365967e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047321036458015442e-01,-4.862405359745025635e-02,-2.708318643271923065e-03,-9.933073520660400391e-01
1.863069534301757812e+00,-1.306852102279663086e-01,3.100419044494628906e-02,0.000000000000000000e+00,1.202456116676330566e+00,1.317678093910217285e-01,7.421484589576721191e-02,-2.739250898361206055e+00,-2.022012509405612946e-02,2.844902276992797852e-01,8.520835638046264648e-02,-1.162657216191291809e-01,7.421484589576721191e-02,1.220138192176818848e+00,4.650628566741943359e-02,2.473828196525573730e-02,-2.778664350509643555e+00,5.459433421492576599e-02,-4.741504043340682983e-02,-3.433597385883331299e-01,7.751047611236572266e-03,2.226445376873016357e-01,1.294100761413574219e+00,3.875523805618286133e-02,2.473828196525573730e-02,-2.813512325286865234e+00,-2.830817364156246185e-02,4.741504192352294922e-01,3.294017910957336426e-01,-3.875523805618286133e-02,-1.484296917915344238e-01,1.297007322311401367e+00,-3.100419044494628906e-02,1.484296917915344238e-01,-2.802486181259155273e+00,3.437421098351478577e-02,5.215654373168945312e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.046985760331153870e-01,-4.861294478178024292e-02,-2.751385094597935677e-03,-9.933113455772399902e-01
1.883077263832092285e+00,-1.286869049072265625e-01,9.688809514045715332e-02,0.000000000000000000e+00,1.203939795494079590e+00,8.913704752922058105e-02,7.421484589576721191e-02,-2.739045619964599609e+00,2.022012369707226753e-03,1.422451138496398926e-01,8.411836624145507812e-02,-6.588390469551086426e-02,1.236914098262786865e-01,1.221833705902099609e+00,4.650628566741943359e-02,1.236914098262786865e-01,-2.777447938919067383e+00,1.152547150850296021e-01,1.422451138496398926e-01,-3.428753018379211426e-01,8.526152372360229492e-02,4.205507934093475342e-01,1.294373273849487305e+00,7.751047611236572266e-03,1.236914098262786865e-01,-2.813291311264038086e+00,-1.213207468390464783e-02,6.638105511665344238e-01,3.286448717117309570e-01,-7.751047611236572266e-02,-3.215976655483245850e-01,1.297643184661865234e+00,-2.712866663932800293e-02,1.236914098262786865e-01,-2.802296638488769531e+00,8.088049478828907013e-03,6.638105511665344238e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047086417675018311e-01,-4.855840280652046204e-02,-2.751042600721120834e-03,-9.933129549026489258e-01
1.914474129676818848e+00,-1.286869049072265625e-01,9.688809514045715332e-02,0.000000000000000000e+00,1.203939795494079590e+00,8.913704752922058105e-02,7.421484589576721191e-02,-2.739045619964599609e+00,2.022012369707226753e-03,1.422451138496398926e-01,8.411836624145507812e-02,-6.588390469551086426e-02,1.236914098262786865e-01,1.221833705902099609e+00,4.650628566741943359e-02,1.236914098262786865e-01,-2.777447938919067383e+00,1.152547150850296021e-01,1.422451138496398926e-01,-3.428753018379211426e-01,8.526152372360229492e-02,4.205507934093475342e-01,1.294373273849487305e+00,7.751047611236572266e-03,1.236914098262786865e-01,-2.813291311264038086e+00,-1.213207468390464783e-02,6.638105511665344238e-01,3.286448717117309570e-01,-7.751047611236572266e-02,-3.215976655483245850e-01,1.297643184661865234e+00,-2.712866663932800293e-02,1.236914098262786865e-01,-2.802296638488769531e+00,8.088049478828907013e-03,6.638105511665344238e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047086417675018311e-01,-4.855840280652046204e-02,-2.751042600721120834e-03,-9.933129549026489258e-01
1.928605318069458008e+00,-1.236911416053771973e-01,1.666475236415863037e-01,-7.421484589576721191e-02,1.207573056221008301e+00,1.162657141685485840e-02,1.731679737567901611e-01,-2.737465858459472656e+00,5.459433421492576599e-02,1.422451138496398926e-01,8.181732892990112305e-02,-5.425733327865600586e-02,2.473828196525573730e-02,1.224255919456481934e+00,1.007636189460754395e-01,4.452890753746032715e-01,-2.774162292480468750e+00,5.055030807852745056e-02,3.319052755832672119e-01,-3.415430784225463867e-01,7.751047611236572266e-02,5.442422032356262207e-01,1.295281648635864258e+00,3.487971425056457520e-02,1.484296917915344238e-01,-2.812849044799804688e+00,-4.044024739414453506e-03,1.043130874633789062e+00,3.261923789978027344e-01,-1.046391502022743225e-01,-3.710742294788360596e-01,1.299278140068054199e+00,5.425733327865600586e-02,1.731679737567901611e-01,-2.800748586654663086e+00,2.628616243600845337e-02,7.112256288528442383e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047072634100914001e-01,-4.853728786110877991e-02,-2.798760076984763145e-03,-9.933139681816101074e-01
1.941352248191833496e+00,-1.226314306259155273e-01,7.751047611236572266e-02,-1.236914098262786865e-01,1.208723664283752441e+00,7.363495230674743652e-02,2.473828196525573730e-02,-2.736849784851074219e+00,4.448427259922027588e-02,1.422451138496398926e-01,8.103007078170776367e-02,-1.433943808078765869e-01,1.731679737567901611e-01,1.224861502647399902e+00,7.751047611236572266e-03,3.463359475135803223e-01,-2.773625135421752930e+00,9.099055826663970947e-02,3.319052755832672119e-01,-3.411797285079956055e-01,4.263076186180114746e-02,5.689804553985595703e-01,1.295584321022033691e+00,3.487971425056457520e-02,4.947656393051147461e-02,-2.812675237655639648e+00,0.000000000000000000e+00,1.090545892715454102e+00,3.257381916046142578e-01,-5.425733327865600586e-02,-5.195039510726928711e-01,1.299520373344421387e+00,-5.813286080956459045e-02,2.226445376873016357e-01,-2.800274610519409180e+00,6.672640889883041382e-02,7.112256288528442383e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047110855579376221e-01,-4.853036999702453613e-02,-2.803148934617638588e-03,-9.933139085769653320e-01
1.961431860923767090e+00,-1.208450198173522949e-01,1.046391502022743225e-01,4.947656393051147461e-02,1.210631132125854492e+00,1.085146665573120117e-01,1.731679737567901611e-01,-2.735870361328125000e+00,7.683647423982620239e-02,9.483008086681365967e-02,7.975840568542480469e-02,-1.046391502022743225e-01,1.731679737567901611e-01,1.226133108139038086e+00,8.913704752922058105e-02,5.442422032356262207e-01,-2.772487640380859375e+00,1.374968439340591431e-01,2.844902276992797852e-01,-3.404530882835388184e-01,2.712866663932800293e-02,8.411015868186950684e-01,1.296371579170227051e+00,1.240167617797851562e-01,1.484296917915344238e-01,-2.812216997146606445e+00,4.044025018811225891e-02,1.232791066169738770e+00,3.247995972633361816e-01,-8.913704752922058105e-02,-6.679335832595825195e-01,1.300065398216247559e+00,0.000000000000000000e+00,2.473828196525573730e-01,-2.799168825149536133e+00,1.233427524566650391e-01,7.112256288528442383e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047062277793884277e-01,-4.850887134671211243e-02,-2.758712042123079300e-03,-9.933156371116638184e-01
1.988151669502258301e+00,-1.173025369644165039e-01,3.875523805618286133e-03,7.421484589576721191e-02,1.215596675872802734e+00,1.743985712528228760e-01,7.421484589576721191e-02,-2.733942985534667969e+00,4.448427259922027588e-02,2.370752096176147461e-01,7.633703947067260742e-02,-1.240167617797851562e-01,2.721211016178131104e-01,1.228736996650695801e+00,0.000000000000000000e+00,5.689804553985595703e-01,-2.769849777221679688e+00,4.650628566741943359e-02,5.215654373168945312e-01,-3.389694690704345703e-01,5.425733327865600586e-02,1.063746094703674316e+00,1.298036813735961914e+00,-7.751047611236572266e-03,1.731679737567901611e-01,-2.811158657073974609e+00,8.088049478828907013e-03,1.612111330032348633e+00,3.228618502616882324e-01,-2.712866663932800293e-02,-7.668867111206054688e-01,1.300852656364440918e+00,-7.751047611236572266e-03,3.710742294788360596e-01,-2.796830892562866211e+00,5.257232487201690674e-02,1.090545892715454102e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.046809330582618713e-01,-4.852213338017463684e-02,-2.764757024124264717e-03,-9.933176040649414062e-01
