time_s,q0,qdot0,tau0,q1,qdot1,tau1,q2,qdot2,tau2,q3,qdot3,tau3,q4,qdot4,tau4,q5,qdot5,tau5,q6,qdot6,tau6,q7,qdot7,tau7,q8,qdot8,tau8,q9,qdot9,tau9,q10,qdot10,tau10,q11,qdot11,tau11,command_0,command_1,command_2,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z
1.793025135993957520e+00,-1.107323169708251953e-01,-3.875523805618286133e-02,1.484296917915344238e-01,1.217171072959899902e+00,4.650628566741943359e-02,-2.473828196525573730e-02,-2.745301008224487305e+00,2.022012369707226753e-03,0.000000000000000000e+00,4.397630691528320312e-03,-5.813286080956459045e-02,7.421484589576721191e-02,1.257621765136718750e+00,5.813286080956459045e-02,7.421484589576721191e-02,-2.784461975097656250e+00,2.426414936780929565e-02,-2.844902276992797852e-01,-3.432689011096954346e-01,4.263076186180114746e-02,-2.473828196525573730e-02,1.298702955245971680e+00,1.550209522247314453e-02,-2.473828196525573730e-02,-2.815581798553466797e+00,-1.415408682078123093e-02,4.741504043340682983e-02,3.057550787925720215e-01,3.875523805618286133e-03,0.000000000000000000e+00,1.304485917091369629e+00,-7.751047611236572266e-03,2.473828196525573730e-02,-2.804618835449218750e+00,-6.066037341952323914e-03,0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-1.812392622232437134e-01,-4.689819365739822388e-02,1.040048245340585709e-02,-9.822651147842407227e-01
1.812778949737548828e+00,-1.107020378112792969e-01,1.937761902809143066e-02,1.236914098262786865e-01,1.217171072959899902e+00,3.487971425056457520e-02,-1.236914098262786865e-01,-2.745301008224487305e+00,1.011006254702806473e-02,3.319052755832672119e-01,4.458189010620117188e-03,6.588390469551086426e-02,1.236914098262786865e-01,1.257561206817626953e+00,-7.751047611236572266e-02,2.226445376873016357e-01,-2.784446001052856445e+00,5.055030807852745056e-02,-2.370752096176147461e-01,-3.432689011096954346e-01,5.425733327865600586e-02,-2.473828196525573730e-02,1.298733234405517578e+00,6.588390469551086426e-02,0.000000000000000000e+00,-2.815581798553466797e+00,-2.022012509405612946e-02,4.741504043340682983e-02,3.058155775070190430e-01,1.007636189460754395e-01,0.000000000000000000e+00,1.304485917091369629e+00,1.937761902809143066e-02,2.473828196525573730e-02,-2.804618835449218750e+00,-2.022012509405612946e-02,-9.483008086681365967e-02,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-1.812306046485900879e-01,-4.688701778650283813e-02,1.039039064198732376e-02,-9.822673201560974121e-01
1.837532758712768555e+00,-1.103993058204650879e-01,-2.712866663932800293e-02,1.484296917915344238e-01,1.218018770217895508e+00,8.913704752922058105e-02,2.473828196525573730e-02,-2.745348453521728516e+00,-4.448427259922027588e-02,9.483008086681365967e-02,4.397630691528320312e-03,1.937761902809143066e-02,2.473828196525573730e-02,1.257803440093994141e+00,-3.875523805618286133e-02,3.710742294788360596e-01,-2.784082651138305664e+00,4.246226325631141663e-02,2.844902276992797852e-01,-3.429358601570129395e-01,6.588390469551086426e-02,7.421484589576721191e-02,1.298854351043701172e+00,3.487971425056457520e-02,2.473828196525573730e-02,-2.815313339233398438e+00,-2.022012369707226753e-03,1.422451138496398926e-01,3.053008913993835449e-01,0.000000000000000000e+00,-2.473828196525573730e-01,1.304879546165466309e+00,2.712866663932800293e-02,2.473828196525573730e-02,-2.804397583007812500e+00,2.022012509405612946e-02,3.319052755832672119e-01,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-1.812206208705902100e-01,-4.682394117116928101e-02,1.038490328937768936e-02,-9.822722673416137695e-01
1.852668642997741699e+00,-1.101570725440979004e-01,-3.100419044494628906e-02,2.721211016178131104e-01,1.218563795089721680e+00,3.100419044494628906e-02,1.484296917915344238e-01,-2.745316982269287109e+00,6.066037341952323914e-03,2.370752096176147461e-01,4.367351531982421875e-03,-3.875523805618286133e-02,1.236914098262786865e-01,1.257924556732177734e+00,-6.200838088989257812e-02,3.215976655483245850e-01,-2.783940553665161133e+00,2.022012509405612946e-02,4.267353713512420654e-01,-3.427844643592834473e-01,7.363495230674743652e-02,3.215976655483245850e-01,1.298914909362792969e+00,1.937761902809143066e-02,7.421484589576721191e-02,-2.815202713012695312e+00,2.830817364156246185e-02,4.267353713512420654e-01,3.050889372825622559e-01,-1.162657141685485840e-02,-2.226445376873016357e-01,1.305091500282287598e+00,5.425733327865600586e-02,1.236914098262786865e-01,-2.804381847381591797e+00,1.819811202585697174e-02,4.741504192352294922e-01,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-1.812177747488021851e-01,-4.681072384119033813e-02,1.037713792175054550e-02,-9.822734594345092773e-01
1.872736692428588867e+00,-1.095212101936340332e-01,9.301257133483886719e-02,2.721211016178131104e-01,1.219623565673828125e+00,8.526152372360229492e-02,0.000000000000000000e+00,-2.745237827301025391e+00,-3.033018670976161957e-02,3.319052755832672119e-01,4.337131977081298828e-03,-3.100419044494628906e-02,7.421484589576721191e-02,1.258257627487182617e+00,5.425733327865600586e-02,4.205507934093475342e-01,-2.783371925354003906e+00,9.099055826663970947e-02,2.844902276992797852e-01,-3.423908352851867676e-01,1.123901903629302979e-01,3.463359475135803223e-01,1.299157142639160156e+00,1.085146665573120117e-01,7.421484589576721191e-02,-2.814823627471923828e+00,2.426414936780929565e-02,6.163955330848693848e-01,3.046348094940185547e-01,-5.425733327865600586e-02,-3.215976655483245850e-01,1.305363893508911133e+00,4.263076186180114746e-02,1.731679737567901611e-01,-2.804239749908447266e+00,3.841823711991310120e-02,8.060556650161743164e-01,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-1.812154799699783325e-01,-4.682406410574913025e-02,1.038710027933120728e-02,-9.822731614112854004e-01
1.899711012840270996e+00,-1.084009408950805664e-01,3.875523805618286133e-03,4.205507934093475342e-01,1.221924662590026855e+00,9.688809514045715332e-02,1.484296917915344238e-01,-2.744448184967041016e+00,3.639622405171394348e-02,2.370752096176147461e-01,4.337131977081298828e-03,-1.937761902809143066e-02,4.947656393051147461e-02,1.258923768997192383e+00,-7.751047611236572266e-03,4.452890753746032715e-01,-2.782392501831054688e+00,2.830817364156246185e-02,6.163955330848693848e-01,-3.413614034652709961e-01,6.588390469551086426e-02,4.452890753746032715e-01,1.299702167510986328e+00,6.200838088989257812e-02,1.484296917915344238e-01,-2.813370227813720703e+00,4.246226325631141663e-02,7.112256288528442383e-01,3.035750985145568848e-01,1.162657141685485840e-02,-3.463359475135803223e-01,1.305999755859375000e+00,-1.937761902809143066e-02,1.484296917915344238e-01,-2.803971052169799805e+00,2.022012509405612946e-02,8.534707427024841309e-01,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-1.812078803777694702e-01,-4.681160673499107361e-02,1.040894910693168640e-02,-9.822749495506286621e-01
1.912618160247802734e+00,-1.077348589897155762e-01,-1.550209522247314453e-02,4.452890753746032715e-01,1.222439289093017578e+00,8.526152372360229492e-02,4.700273573398590088e-01,-2.743531942367553711e+00,4.852829873561859131e-02,2.370752096176147461e-01,4.306852817535400391e-03,-1.937761902809143066e-02,7.421484589576721191e-02,1.259135723114013672e+00,-1.550209522247314453e-02,5.937187671661376953e-01,-2.782076597213745117e+00,4.044024739414453506e-03,6.163955330848693848e-01,-3.408466875553131104e-01,6.200838088989257812e-02,5.689804553985595703e-01,1.299974560737609863e+00,3.875523805618286133e-02,1.731679737567901611e-01,-2.813180685043334961e+00,0.000000000000000000e+00,8.534707427024841309e-01,3.030300736427307129e-01,-3.875523805618286133e-03,-4.452890753746032715e-01,1.306363105773925781e+00,-1.937761902809143066e-02,1.731679737567901611e-01,-2.803939580917358398e+00,6.066037341952323914e-03,9.008857607841491699e-01,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-1.811946779489517212e-01,-4.676050320267677307e-02,1.038795150816440582e-02,-9.822800159454345703e-01
1.932670474052429199e+00,-1.061906814575195312e-01,2.325314283370971680e-02,2.226445376873016357e-01,1.223287105560302734e+00,3.487971425056457520e-02,5.442422032356262207e-01,-2.742631435394287109e+00,4.852829873561859131e-02,3.319052755832672119e-01,4.306852817535400391e-03,3.100419044494628906e-02,7.421484589576721191e-02,1.259801745414733887e+00,-7.751047611236572266e-03,6.431953310966491699e-01,-2.780875921249389648e+00,1.172767207026481628e-01,2.844902276992797852e-01,-3.398172557353973389e-01,8.526152372360229492e-02,6.926718950271606445e-01,1.300822377204895020e+00,7.363495230674743652e-02,4.947656393051147461e-02,-2.812769889831542969e+00,4.448427259922027588e-02,1.090545892715454102e+00,3.020006418228149414e-01,-6.200838088989257812e-02,-4.452890753746032715e-01,1.307241201400756836e+00,-5.813286080956459045e-02,1.236914098262786865e-01,-2.803670883178710938e+00,1.617609895765781403e-02,1.137960910797119141e+00,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-1.811954826116561890e-01,-4.678751528263092041e-02,1.036799140274524689e-02,-9.822787642478942871e-01
1.953313350677490234e+00,-1.055851578712463379e-01,5.813286080956459045e-02,1.731679737567901611e-01,1.223468780517578125e+00,3.875523805618286133e-02,5.937187671661376953e-01,-2.742315530776977539e+00,2.830817364156246185e-02,3.319052755832672119e-01,4.276573657989501953e-03,-3.875523805618286133e-02,2.473828196525573730e-02,1.260043978691101074e+00,4.650628566741943359e-02,6.431953310966491699e-01,-2.780433654785156250e+00,6.874842196702957153e-02,6.638105511665344238e-01,-3.396355807781219482e-01,0.000000000000000000e+00,7.668867111206054688e-01,1.301125168800354004e+00,1.240167617797851562e-01,4.947656393051147461e-02,-2.812627792358398438e+00,-1.415408682078123093e-02,1.090545892715454102e+00,3.017584085464477539e-01,-2.712866663932800293e-02,-5.195039510726928711e-01,1.307574272155761719e+00,3.487971425056457520e-02,1.731679737567901611e-01,-2.803639411926269531e+00,2.830817364156246185e-02,1.137960910797119141e+00,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-1.811892837285995483e-01,-4.678112268447875977e-02,1.035778410732746124e-02,-9.822803735733032227e-01
1.975733399391174316e+00,-1.027390956878662109e-01,6.975942850112915039e-02,1.484296917915344238e-01,1.224377155303955078e+00,9.688809514045715332e-02,8.411015868186950684e-01,-2.741178035736083984e+00,1.415408682078123093e-02,7.112256288528442383e-01,4.306852817535400391e-03,3.487971425056457520e-02,4.947656393051147461e-02,1.261134028434753418e+00,3.100419044494628906e-02,7.668867111206054688e-01,-2.779959678649902344e+00,2.022012509405612946e-02,1.043130874633789062e+00,-3.386061489582061768e-01,3.100419044494628906e-02,1.063746094703674316e+00,1.302336215972900391e+00,3.487971425056457520e-02,7.421484589576721191e-02,-2.811585187911987305e+00,3.437421098351478577e-02,1.280206084251403809e+00,3.008198142051696777e-01,3.875523805618286133e-03,-7.421484589576721191e-01,1.308785319328308105e+00,7.751047611236572266e-03,1.484296917915344238e-01,-2.803354978561401367e+00,1.819811202585697174e-02,1.612111330032348633e+00,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-1.812167912721633911e-01,-4.682232812047004700e-02,1.030435785651206970e-02,-9.822738766670227051e-01
